model,metric,step,value
run_a6_b4,error,0,1.9212417135480842
run_a6_b4,energy_norm,0,0.2863757077977061
run_a6_b4,error,1,1.7973305372554864
run_a6_b4,energy_norm,1,0.28222258649766446
run_a6_b4,error,2,1.679199182006808
run_a6_b4,energy_norm,2,0.2756097529456019
run_a6_b4,error,3,1.5659026568331524
run_a6_b4,energy_norm,3,0.2668438135460019
run_a6_b4,error,4,1.4593784553605922
run_a6_b4,energy_norm,4,0.2566013965383172
run_a6_b4,error,5,1.35748236337461
run_a6_b4,energy_norm,5,0.24604636747390032
run_a6_b4,error,6,1.2613058515652558
run_a6_b4,energy_norm,6,0.23611586060374976
run_a6_b4,error,7,1.1699011929388177
run_a6_b4,energy_norm,7,0.22671691559255122
run_a6_b4,error,8,1.0834298588698936
run_a6_b4,energy_norm,8,0.2177505088970065
run_a6_b4,error,9,1.0038357861108955
run_a6_b4,energy_norm,9,0.20883754067122937
run_a6_b4,error,10,0.9309231844998175
run_a6_b4,energy_norm,10,0.19958954699337483
run_a6_b4,error,11,0.8643668439617358
run_a6_b4,energy_norm,11,0.18967911384999753
run_a6_b4,error,12,0.8049155593890205
run_a6_b4,energy_norm,12,0.1796032702550292
run_a6_b4,error,13,0.7525314092227657
run_a6_b4,energy_norm,13,0.170054372549057
run_a6_b4,error,14,0.7056239471676693
run_a6_b4,energy_norm,14,0.16099193908274173
run_a6_b4,error,15,0.6643580117261945
run_a6_b4,energy_norm,15,0.1519048982486129
run_a6_b4,error,16,0.628432706882268
run_a6_b4,energy_norm,16,0.14289461061358452
run_a6_b4,error,17,0.5966181467654289
run_a6_b4,energy_norm,17,0.13445034936070444
run_a6_b4,error,18,0.5682703926462735
run_a6_b4,energy_norm,18,0.1268989374861121
run_a6_b4,error,19,0.5428518946044818
run_a6_b4,energy_norm,19,0.12005121346563101
run_a6_b4,error,20,0.5211099354990567
run_a6_b4,energy_norm,20,0.11343722369521857
run_a6_b4,error,21,0.502134499172169
run_a6_b4,energy_norm,21,0.10694878347218037
run_a6_b4,error,22,0.48524409489475273
run_a6_b4,energy_norm,22,0.10079710204154253
run_a6_b4,error,23,0.47004826695579965
run_a6_b4,energy_norm,23,0.09498667705804109
run_a6_b4,error,24,0.45650762854587
run_a6_b4,energy_norm,24,0.08948521133512259
run_a6_b4,error,25,0.44452831094389766
run_a6_b4,energy_norm,25,0.08431421931833029
run_a6_b4,error,26,0.43378541345762256
run_a6_b4,energy_norm,26,0.07964459616690873
run_a6_b4,error,27,0.4239782502053602
run_a6_b4,energy_norm,27,0.07554701071232557
run_a6_b4,error,28,0.4149261873127723
run_a6_b4,energy_norm,28,0.07201649639755488
run_a6_b4,error,29,0.4065126693926912
run_a6_b4,energy_norm,29,0.06899210501462222
run_a6_b4,error,30,0.3987372153188171
run_a6_b4,energy_norm,30,0.06639361150562763
run_a6_b4,error,31,0.39147851865750793
run_a6_b4,energy_norm,31,0.06414604131132365
run_a6_b4,error,32,0.3846804964021885
run_a6_b4,energy_norm,32,0.062186227403581144
run_a6_b4,error,33,0.37836955658507976
run_a6_b4,energy_norm,33,0.060462885387241844
run_a6_b4,error,34,0.3724038998603777
run_a6_b4,energy_norm,34,0.05893583338707686
run_a6_b4,error,35,0.3668412829392827
run_a6_b4,energy_norm,35,0.05757296729832888
run_a6_b4,error,36,0.3616348280640756
run_a6_b4,energy_norm,36,0.05634852163493633
run_a6_b4,error,37,0.3567616346891457
run_a6_b4,energy_norm,37,0.055242034308612346
run_a6_b4,error,38,0.3521959459447747
run_a6_b4,energy_norm,38,0.054236625619232655
run_a6_b4,error,39,0.3479017194221211
run_a6_b4,energy_norm,39,0.05331871945410967
run_a6_b4,error,40,0.34392734738586755
